productNumber,productAsin,productUuid,productImageLink,productLink,productTitle,productStar,numberComment,productPrice,productOldPrice,discountRate
1,B09NBKJW2X,bd97ce2e-c836-43fe-a8e9-3230c8ebf574,https://m.media-amazon.com/images/I/612UaRFJBDL._AC_UL320_.jpg,https://www.amazon.co.uk//BlueMello-Ultra-Soft-Essential-Receiving-Accessories/dp/B09NBKJW2X,BlueMello Baby Swaddle Blanket | Ultra-Soft Plush Essential for Infants 0-6 Months | Receiving Swaddling Wrap White | Ideal Newborn Registry and Toddler Boy Accessories | Perfect Baby Girl Shower Gift,4.7 out of 5 stars,"1,477",£18.99,£23.99,%20.84
2,B07KRMD9T4,3c7c1d1a-cba8-4854-ad13-2e91f0482bb7,https://m.media-amazon.com/images/I/7152N1Mfe5L._AC_UL320_.jpg,https://www.amazon.co.uk//Swaddle-Newborn-Blanket-Organic-Swaddles/dp/B07KRMD9T4,Baby Swaddle Blanket 0-3 Months 100% Organic Cotton Newborn Swaddles - Pack of 3 Swaddle Blankets - New Born Swaddle Wrap For Boy and Girl,4.5 out of 5 stars,"7,249",£17.99,£24.99,%28.01
3,B002IS0M32,239a98a2-4f61-4215-8ed1-897fc19db3cd,https://m.media-amazon.com/images/I/81aCs27VhjL._AC_UL320_.jpg,https://www.amazon.co.uk//Tommee-Tippee-Closer-Nature-Healthcare/dp/B002IS0M32,Tommee Tippee Healthcare Kit for Baby,4.7 out of 5 stars,"31,951",£12.99,£24.99,%48.02
4,B08X9SHBZ8,82eff2ca-912b-4718-95f5-56a85aa4fc56,https://m.media-amazon.com/images/I/91bVih1vSML._AC_UL320_.jpg,https://www.amazon.co.uk//Sensory-Development-Animals-Contrast-Newborn/dp/B08X9SHBZ8,24 Design Baby Sensory Development Flash Cards 0-3 Month Animals High Contrast Vision Newborn Gift,4.6 out of 5 stars,166,£4.99,,
5,B07LD1MGKK,d28efc33-1073-46a6-bce3-efc9ffe216b9,https://m.media-amazon.com/images/I/618Mz9qRDbL._AC_UL320_.jpg,https://www.amazon.co.uk//Angelcare-Baby-Bath-Support-Grey/dp/B07LD1MGKK,Angelcare Baby Bath Support in Grey,4.8 out of 5 stars,"12,165",£19.99,£27.99,%28.58
6,B075Z2HPPZ,0a68ef59-7776-4d95-9995-8fd4019439ff,https://m.media-amazon.com/images/I/91HuntPlNGL._MCnd_AC_UL320_.jpg,https://www.amazon.co.uk//Simple-Joys-Carters-Neutral-Elephant/dp/B075Z2HPPZ,"Simple Joys by Carter's Unisex Babies' Cotton Footed Sleep and Play, Pack of 3",4.7 out of 5 stars,"12,635",£26.30,,
7,B00HWREEII,7129a71d-ea2e-4077-9dc4-5b0ed135243c,https://m.media-amazon.com/images/I/61iVGqmMMoL._AC_UL320_.jpg,https://www.amazon.co.uk//Converse-Girls-Booties-Vintage-Heather/dp/B00HWREEII,Converse Baby Socks Baby Shoes 356 Red 1 x Red and 1 x White 2 Pack,4.7 out of 5 stars,"2,189",£8.99,£10.00,%10.1
8,B0111AIZ68,5c79a1fe-9588-4e9e-84cf-a7f50e429070,https://m.media-amazon.com/images/I/61lAQGDP8HL._AC_UL320_.jpg,https://www.amazon.co.uk//Huggies-Pure-Baby-Wipes-Packs/dp/B0111AIZ68,"Huggies Pure, Baby Wipes, 18 Packs (1008 Wipes Total) - 99 Percent Pure Water Wipes - Fragrance Free for Gentle Cleaning and Protection - Natural Wet Wipes",4.7 out of 5 stars,"21,344",£12.20,£17.25,%29.28
9,B07WZMGWH1,10bd25f4-efde-4f7f-af0a-8ffcf6956e6d,https://m.media-amazon.com/images/I/61vMT-cTHTL._AC_UL320_.jpg,https://www.amazon.co.uk//VICROAD-Knitted-Rompers-Newborn-Jumpsuit/dp/B07WZMGWH1,VICROAD Baby Hooded Knitted Rompers Newborn Girls Boys Onesies Warm Sweater Jumpsuit Outfits,4.6 out of 5 stars,"1,711",£17.99,,
10,B07PM816HQ,176bc339-21b1-480b-9537-ff62a1bd3c38,https://m.media-amazon.com/images/I/61fzgbk8GzL._AC_UL320_.jpg,https://www.amazon.co.uk//Tommee-Tippee-Complete-Feeding-White/dp/B07PM816HQ,"Tommee Tippee Complete Feeding Set, Super-Steam Electric Steriliser, Baby Bottle and Food Warmer, Baby Bottles and Accessories, White",4.6 out of 5 stars,"7,245",£74.99,£175.00,%57.15
11,B086X42P9Y,af0976c2-1ab4-4dae-ad10-42450577b2c9,https://m.media-amazon.com/images/I/51oQqxF5zfL._AC_UL320_.jpg,https://www.amazon.co.uk//Fisher-Price-Sit-Me-Up-Portable-Removable-Teething/dp/B086X42P9Y,"Fisher-Price DJD81 Giraffe Sit-Me-Up Floor Seat, Portable Baby Chair or Seat with Removable Tray, Rattle and Teething Toy (Pack of 1)",4.6 out of 5 stars,"2,390",£39.99,£49.99,%20.0
12,B00BG6304A,a1b5337d-b5be-4d06-b9d4-7654355a478a,https://m.media-amazon.com/images/I/61lYSxrF4yL._AC_UL320_.jpg,https://www.amazon.co.uk//Tommee-Tippee-Perfect-Machine-White/dp/B00BG6304A,"Tommee Tippee Perfect Prep Machine, White",4.7 out of 5 stars,"13,333",£69.99,£129.99,%46.16
